"","Year","quarter","mkt_fare","citymarketid_1","citymarketid_2","city1","city2","carairlineid","car","carpax","carpaxshare","caravgfare","fareinc_min","fareinc_minpaxsh","fareinc_max","fare_inc_maxpaxsh","fare_inc_x3paxsh","Geocoded_City1","Geocoded_City2","tbl5pk","lat1","lon1","lat2","lon2","distance"
"1248",2013,"2",304.26,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",19977,"UA",8440,0.34,365.61,175,0.06,525,0.15,0.1,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20132319863170319977UA",42.96336,-85.66809,40.71278,-74.00597,996.423521025771
"1249",2013,"2",264.86,30977,35096,"Chicago, IL","Syracuse, NY",20355,"US",2710,0.14,244,125,0.05,350,0.12,0.03,"Chicago, IL
(41.775002, -87.696388)","Syracuse, NY
(43.047945, -76.147448)","20132309773509620355US",41.87811,-87.6298,43.04812,-76.14742,949.430122351463
"1250",2013,"1",271.44,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",19977,"UA",3070,0.19,267.27,100,0.14,625,0.06,0.31,"Columbia, SC
(39.962649, -82.996216)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20131308683085219977UA",34.00071,-81.03481,39.12897,-77.37838,656.52493395273
"1251",2014,"3",340.26,30977,33105,"Chicago, IL","Cincinnati, OH",19805,"AA",5230,0.18,335,200,0.05,500,0.08,0.01,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20143309773310519805AA",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"1252",2013,"3",308.99,31295,30529,"Detroit, MI","Hartford, CT",19790,"DL",6360,0.33,346.21,200,0.08,625,0.06,0.12,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)","20133312953052919790DL",42.33143,-83.04575,41.7658,-72.67337,857.647439195629
"1253",2014,"1",294.6,31295,30529,"Detroit, MI","Hartford, CT",19790,"DL",9840,0.64,343.29,200,0.08,625,0.09,0.12,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)","20141312953052919790DL",42.33143,-83.04575,41.7658,-72.67337,857.647439195629
"1254",2014,"1",285.85,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",20355,"US",9590,0.58,292.47,100,0.18,650,0.06,0.37,"Columbia, SC
(39.962649, -82.996216)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20141308683085220355US",34.00071,-81.03481,39.12897,-77.37838,656.52493395273
"1255",2013,"2",280.81,30977,34524,"Chicago, IL","Richmond, VA",20355,"US",4940,0.15,257.24,175,0.09,325,0.06,0.02,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20132309773452420355US",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"1256",2015,"1",271.31,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",19790,"DL",3950,0.2,265.35,150,0.34,275,0.05,0.16,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20151319863170319790DL",42.96336,-85.66809,40.71278,-74.00597,996.423521025771
"1257",2013,"1",308.51,31295,34100,"Detroit, MI","Philadelphia, PA",20355,"US",16160,0.42,330.51,200,0.18,650,0.06,0.1,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)","20131312953410020355US",42.33143,-83.04575,39.95258,-75.16522,710.113722507413
"1258",2015,"1",299.54,30194,33244,"Dallas/Fort Worth, TX","Memphis, TN",19805,"AA",7670,0.32,355.88,150,0.06,500,0.11,0.32,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Memphis, TN
(35.143378, -90.052136)","20151301943324419805AA",32.70788,-96.92091,35.14953,-90.04898,689.026161153083
"1259",2014,"1",312.75,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",19977,"UA",20090,0.27,344.75,100,0.07,650,0.09,0.43,"Columbus, OH
(39.962649, -82.996216)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20141310663170319977UA",39.96118,-82.99879,40.71278,-74.00597,765.925335364936
"1260",2018,"4",264.14,33485,30852,"Madison, WI","Washington, DC (Metropolitan Area)",19790,"DL",7080,0.3176,275.1,125,0.0523,350,0.0763,0.1681,"","","20184334853085219790DL",43.07217,-89.40075,39.12897,-77.37838,1096.58782209534
"1261",2013,"2",297.1,30721,31295,"Boston, MA (Metropolitan Area)","Detroit, MI",20355,"US",16070,0.18,243.94,150,0.08,325,0.05,0.04,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Detroit, MI
(42.332916, -83.047853)","20132307213129520355US",42.36008,-71.05888,42.33143,-83.04575,983.647110832528
"1262",2014,"2",274.38,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19805,"AA",6350,0.2,257.9,125,0.06,525,0.07,0.24,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","20142317033366719805AA",40.71278,-74.00597,36.85077,-76.28587,472.359635513571
"1263",2018,"4",264.14,33485,30852,"Madison, WI","Washington, DC (Metropolitan Area)",19977,"UA",2500,0.1122,248.52,150,0.056,300,0.104,0.048,"","","20184334853085219977UA",43.07217,-89.40075,39.12897,-77.37838,1096.58782209534
"1264",2012,"2",264.83,32337,31703,"Indianapolis, IN","New York City, NY (Metropolitan Area)",20355,"US",18380,0.19,227.74,175,0.15,300,0.05,0.01,"Indianapolis, IN
(39.76845, -86.156212)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20122323373170320355US",39.7684,-86.15807,40.71278,-74.00597,1035.25507065128
"1265",2014,"4",305.96,30977,33105,"Chicago, IL","Cincinnati, OH",19805,"AA",9180,0.34,322.59,175,0.06,400,0.05,0.05,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20144309773310519805AA",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"1266",2012,"4",299.83,31295,34100,"Detroit, MI","Philadelphia, PA",20355,"US",22940,0.46,309.92,200,0.14,650,0.05,0.09,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)","20124312953410020355US",42.33143,-83.04575,39.95258,-75.16522,710.113722507413
"1267",2014,"1",315.61,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",19977,"UA",2880,0.12,231.96,175,0.2,325,0.06,0.02,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20141323373165019977UA",39.7684,-86.15807,44.93748,-93.201,814.514168710895
"1268",2013,"4",313.49,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19790,"DL",24210,0.58,318.02,150,0.08,500,0.11,0.26,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20134317033452419790DL",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"1269",2015,"2",304.75,31057,31295,"Charlotte, NC","Detroit, MI",19790,"DL",8810,0.2,322.31,100,0.06,650,0.05,0.48,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)","20152310573129519790DL",35.22709,-80.84313,42.33143,-83.04575,812.079540863763
"1270",2012,"1",287.57,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",20355,"US",3820,0.16,299.18,200,0.13,325,0.08,0.04,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20121330443170320355US",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"1271",2021,"1",198.45,34570,34614,"Reno, NV","Salt Lake City, UT",19790,"DL",3530,0.4305,205.84,100,0.2408,400,0.0878,0.2181,"","","20211345703461419790DL",39.52992,-119.81427,40.76078,-111.89105,686.508211881779
"1272",2012,"2",280.56,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",19790,"DL",27490,0.72,285.35,150,0.1,475,0.05,0.14,"Cincinnati, OH
(39.104427, -84.513808)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20122331053085219790DL",39.10312,-84.51202,39.12897,-77.37838,614.872707110539
"1273",2012,"3",268.59,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19977,"UA",7860,0.27,365.21,125,0.05,575,0.1,0.38,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20123330443170319977UA",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"1274",2015,"3",295,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19790,"DL",7510,0.27,327.64,150,0.05,500,0.13,0.27,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charlotte, NC
(35.222936, -80.840161)","20153303973105719790DL",33.84982,-84.43827,35.22709,-80.84313,362.893125160433
"1275",2015,"2",262.96,30257,30977,"Albany, NY","Chicago, IL",19977,"UA",7120,0.25,277.56,175,0.08,375,0.07,0.01,"Albany, NY
(42.651242, -73.755418)","Chicago, IL
(41.775002, -87.696388)","20152302573097719977UA",42.65258,-73.75623,41.87811,-87.6298,1142.81595425702
"1276",2012,"3",399.85,30194,33244,"Dallas/Fort Worth, TX","Memphis, TN",19805,"AA",10800,0.69,395.37,125,0.05,675,0.05,0.56,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Memphis, TN
(35.143378, -90.052136)","20123301943324419805AA",32.70788,-96.92091,35.14953,-90.04898,689.026161153083
"1277",2015,"2",260.88,31057,32467,"Charlotte, NC","Miami, FL (Metropolitan Area)",19790,"DL",7240,0.1,184.31,150,0.43,275,0.08,0.0055,"Charlotte, NC
(35.222936, -80.840161)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","20152310573246719790DL",35.22709,-80.84313,26.30139,-80.63269,992.026450851563
"1278",2014,"2",274.38,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19977,"UA",5520,0.17,290.09,150,0.06,500,0.09,0.21,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","20142317033366719977UA",40.71278,-74.00597,36.85077,-76.28587,472.359635513571
"1279",2021,"1",201.36,34614,30436,"Salt Lake City, UT","Tucson, AZ",19790,"DL",3760,0.4413,201.18,100,0.141,375,0.0532,0.1995,"","","20211346143043619790DL",40.76078,-111.89105,32.25398,-110.97418,948.79897930061
"1280",2015,"2",284.05,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",19790,"DL",3940,0.2,311.66,200,0.11,400,0.05,0.05,"Knoxville, TN
(35.962631, -83.916677)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20152354123170319790DL",35.96064,-83.92074,40.71278,-74.00597,1011.77601635749
"1281",2012,"3",297.28,30977,35096,"Chicago, IL","Syracuse, NY",19977,"UA",6650,0.44,319.86,175,0.06,500,0.12,0.06,"Chicago, IL
(41.775002, -87.696388)","Syracuse, NY
(43.047945, -76.147448)","20123309773509619977UA",41.87811,-87.6298,43.04812,-76.14742,949.430122351463
"1282",2015,"4",291.29,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19977,"UA",10420,0.12,283.11,150,0.17,425,0.07,0.15,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20154331053170319977UA",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"1283",2013,"2",272.16,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19790,"DL",41330,0.38,254.19,100,0.05,475,0.06,0.37,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)","20132317033019819790DL",40.71278,-74.00597,40.44062,-79.99589,506.351972108253
"1284",2021,"1",180.58,34614,31884,"Salt Lake City, UT","Spokane, WA",19790,"DL",4180,0.4287,185.81,100,0.2823,300,0.0622,0.1364,"","","20211346143188419790DL",40.76078,-111.89105,47.65878,-117.42605,883.693901043644
"1285",2012,"2",304.17,30721,31295,"Boston, MA (Metropolitan Area)","Detroit, MI",19790,"DL",62240,0.74,322.87,225,0.11,575,0.06,0.01,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Detroit, MI
(42.332916, -83.047853)","20122307213129519790DL",42.36008,-71.05888,42.33143,-83.04575,983.647110832528
"1286",2012,"1",262.47,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",20355,"US",16130,0.71,268.88,100,0.05,500,0.09,0.29,"Charlotte, NC
(35.222936, -80.840161)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","20121310573064720355US",35.22709,-80.84313,41.49932,-81.69436,700.893871479168
"1287",2018,"4",127.4,33570,32457,"San Diego, CA","San Francisco, CA (Metropolitan Area)",19393,"WN",236250,0.3279,126.58,75,0.2133,200,0.0886,0.0649,"","","20184335703245719393WN",32.71574,-117.16108,37.77493,-122.41942,737.113823935703
"1288",2014,"4",276.76,30397,32600,"Atlanta, GA (Metropolitan Area)","Little Rock, AR",19790,"DL",13970,0.82,287.69,75,0.05,425,0.08,0.53,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Little Rock, AR
(34.748745, -92.275105)","20144303973260019790DL",33.84982,-84.43827,34.74446,-92.28802,727.23069307712
"1289",2015,"4",291.29,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19790,"DL",26230,0.3,300.06,150,0.2,425,0.07,0.18,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20154331053170319790DL",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"1290",2012,"2",275.24,31057,33244,"Charlotte, NC","Memphis, TN",20355,"US",9540,0.59,289.97,150,0.05,700,0.07,0.21,"Charlotte, NC
(35.222936, -80.840161)","Memphis, TN
(35.143378, -90.052136)","20122310573324420355US",35.22709,-80.84313,35.14953,-90.04898,835.767140822544
"1291",2014,"1",325.8,31057,31295,"Charlotte, NC","Detroit, MI",20355,"US",14130,0.46,336.27,100,0.06,625,0.06,0.47,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)","20141310573129520355US",35.22709,-80.84313,42.33143,-83.04575,812.079540863763
"1292",2012,"3",118.14,34100,34492,"Philadelphia, PA","Raleigh/Durham, NC",19393,"WN",33210,0.37,105.08,75,0.15,150,0.07,3e-04,"Philadelphia, PA
(39.951061, -75.16562)","Raleigh/Durham, NC
(42.673348, -72.179683)","20123341003449219393WN",39.95258,-75.16522,35.99403,-78.89862,547.998928094238
"1293",2014,"2",260.56,30423,31123,"Austin, TX","St. Louis, MO",19805,"AA",5460,0.27,236.97,175,0.18,275,0.1,0.02,"Austin, TX
(30.264979, -97.746598)","St. Louis, MO
(38.630276, -90.200309)","20142304233112319805AA",30.26715,-97.74306,38.627,-90.1994,1156.94357037087
"1294",2014,"1",346.27,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",20355,"US",8580,0.54,365.33,125,0.24,675,0.06,0.32,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20141354123085220355US",35.96064,-83.92074,39.12897,-77.37838,675.152409324652
"1295",2014,"4",305.96,30977,33105,"Chicago, IL","Cincinnati, OH",19790,"DL",8450,0.31,315.32,175,0.09,500,0.08,0.02,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20144309773310519790DL",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"1296",2012,"2",294.13,30977,34524,"Chicago, IL","Richmond, VA",20355,"US",5510,0.16,267.74,200,0.12,300,0.08,0.02,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20122309773452420355US",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"1297",2013,"4",311.37,30977,34524,"Chicago, IL","Richmond, VA",20355,"US",4710,0.18,279.54,175,0.06,400,0.1,0.01,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20134309773452420355US",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"1298",2015,"3",284.45,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",19393,"WN",5270,0.14,230.29,175,0.18,275,0.13,0.0019,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)","20153316503069319393WN",44.93748,-93.201,36.16266,-86.7816,1114.69532630839
"1299",2015,"3",320.75,33105,34100,"Cincinnati, OH","Philadelphia, PA",19790,"DL",3130,0.13,312.62,175,0.05,425,0.12,0.02,"Cincinnati, OH
(39.104427, -84.513808)","Philadelphia, PA
(39.951061, -75.16562)","20153331053410019790DL",39.10312,-84.51202,39.95258,-75.16522,806.262528481617
"1300",2013,"3",279.24,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",20355,"US",5400,0.33,263.62,100,0.05,650,0.05,0.28,"Columbia, SC
(39.962649, -82.996216)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20133308683085220355US",34.00071,-81.03481,39.12897,-77.37838,656.52493395273
"1301",2013,"3",268.43,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",20355,"US",17860,0.17,269.83,125,0.18,475,0.12,0.24,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)","20133317033019820355US",40.71278,-74.00597,40.44062,-79.99589,506.351972108253
"1302",2012,"1",280.06,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19977,"UA",9870,0.26,314.97,100,0.05,475,0.22,0.53,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20121317033452419977UA",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"1303",2014,"2",269.6,31295,34492,"Detroit, MI","Raleigh/Durham, NC",19393,"WN",2710,0.1,208.17,150,0.06,325,0.06,0.0037,"Detroit, MI
(42.332916, -83.047853)","Raleigh/Durham, NC
(42.673348, -72.179683)","20142312953449219393WN",42.33143,-83.04575,35.99403,-78.89862,789.411468429166
"1304",2013,"3",317.4,30977,34524,"Chicago, IL","Richmond, VA",19977,"UA",5020,0.17,349.67,200,0.05,525,0.08,0.07,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20133309773452419977UA",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"1305",2013,"4",336.97,30977,33105,"Chicago, IL","Cincinnati, OH",19977,"UA",9270,0.32,335.75,175,0.05,475,0.16,0.03,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20134309773310519977UA",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"1306",2012,"2",275.29,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19790,"DL",10090,0.29,251.84,175,0.3,425,0.05,0.02,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20122317033452419790DL",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"1307",2014,"1",285.94,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19790,"DL",27020,0.31,283.67,125,0.16,475,0.11,0.31,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)","20141317033019819790DL",40.71278,-74.00597,40.44062,-79.99589,506.351972108253
"1308",2014,"4",275.02,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19790,"DL",13480,0.29,290.2,175,0.21,600,0.06,0.13,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20144330443170319790DL",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"1309",2013,"3",295.11,31057,31295,"Charlotte, NC","Detroit, MI",19790,"DL",5880,0.18,309.63,100,0.06,450,0.06,0.5,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)","20133310573129519790DL",35.22709,-80.84313,42.33143,-83.04575,812.079540863763
"1310",2015,"1",310.38,31057,31295,"Charlotte, NC","Detroit, MI",19790,"DL",6950,0.21,340.68,100,0.05,625,0.08,0.53,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)","20151310573129519790DL",35.22709,-80.84313,42.33143,-83.04575,812.079540863763
"1311",2012,"2",264.23,30647,33198,"Cleveland, OH (Metropolitan Area)","Kansas City, MO",19977,"UA",9160,0.55,269.55,150,0.07,400,0.16,0.02,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Kansas City, MO
(39.099792, -94.578559)","20122306473319819977UA",41.49932,-81.69436,39.09973,-94.57857,1122.81766555338
"1312",2012,"3",275.11,30977,34524,"Chicago, IL","Richmond, VA",19805,"AA",9030,0.25,265.26,125,0.12,525,0.05,0.25,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20123309773452419805AA",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"1313",2015,"3",304.92,31057,31295,"Charlotte, NC","Detroit, MI",19790,"DL",7370,0.18,335.3,100,0.06,625,0.07,0.52,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)","20153310573129519790DL",35.22709,-80.84313,42.33143,-83.04575,812.079540863763
"1314",2014,"4",371.48,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",20355,"US",8570,0.12,275.47,200,0.12,350,0.06,0.01,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20144331053170320355US",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"1315",2015,"3",300.14,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19790,"DL",4030,0.14,322.78,200,0.11,550,0.09,0.02,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","20153317033366719790DL",40.71278,-74.00597,36.85077,-76.28587,472.359635513571
"1316",2014,"1",285.85,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",19977,"UA",3860,0.23,242.56,100,0.44,650,0.06,0.3,"Columbia, SC
(39.962649, -82.996216)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20141308683085219977UA",34.00071,-81.03481,39.12897,-77.37838,656.52493395273
"1317",2013,"4",273.47,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19790,"DL",15650,0.58,293.84,100,0.05,475,0.08,0.56,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charlotte, NC
(35.222936, -80.840161)","20134303973105719790DL",33.84982,-84.43827,35.22709,-80.84313,362.893125160433
"1318",2015,"1",305.54,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",20355,"US",12610,0.15,318.83,150,0.11,525,0.09,0.24,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)","20151317033019820355US",40.71278,-74.00597,40.44062,-79.99589,506.351972108253
"1319",2015,"2",311.04,33105,34100,"Cincinnati, OH","Philadelphia, PA",20355,"US",7600,0.3,314.64,175,0.07,425,0.13,0.04,"Cincinnati, OH
(39.104427, -84.513808)","Philadelphia, PA
(39.951061, -75.16562)","20152331053410020355US",39.10312,-84.51202,39.95258,-75.16522,806.262528481617
"1320",2013,"1",380.87,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",19790,"DL",2490,0.17,372.92,225,0.07,425,0.07,0.06,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20131354123085219790DL",35.96064,-83.92074,39.12897,-77.37838,675.152409324652
"1321",2014,"4",325.81,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",20355,"US",13490,0.33,303.56,150,0.14,525,0.11,0.24,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20144317033452420355US",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"1322",2014,"2",269.98,31295,31703,"Detroit, MI","New York City, NY (Metropolitan Area)",19790,"DL",123770,0.53,325.41,150,0.18,200,0.06,0.28,"Detroit, MI
(42.332916, -83.047853)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20142312953170319790DL",42.33143,-83.04575,40.71278,-74.00597,772.863126487896
"1323",2014,"2",279.29,31057,33105,"Charlotte, NC","Cincinnati, OH",19790,"DL",4800,0.29,268.5,150,0.06,425,0.06,0.03,"Charlotte, NC
(35.222936, -80.840161)","Cincinnati, OH
(39.104427, -84.513808)","20142310573310519790DL",35.22709,-80.84313,39.10312,-84.51202,539.382735463728
"1324",2015,"1",309.37,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19790,"DL",2440,0.12,337.75,150,0.07,525,0.11,0.28,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","20151317033366719790DL",40.71278,-74.00597,36.85077,-76.28587,472.359635513571
"1325",2015,"2",281.83,31267,31703,"Dayton, OH","New York City, NY (Metropolitan Area)",20355,"US",4500,0.17,249.92,175,0.27,375,0.06,0.02,"Dayton, OH
(39.760982, -84.192203)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20152312673170320355US",39.75895,-84.19161,40.71278,-74.00597,870.001900609974
"1326",2012,"1",321.61,30372,32575,"Aspen, CO","Los Angeles, CA (Metropolitan Area)",19805,"AA",2370,0.13,342.49,175,0.08,500,0.05,0.16,"Aspen, CO
(39.190665, -106.819201)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","20121303723257519805AA",39.1911,-106.81754,34.05223,-118.24368,1166.7984210984
"1327",2015,"1",395.3,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19977,"UA",3490,0.11,410.11,200,0.07,550,0.06,0.07,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20151317033452419977UA",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"1328",2014,"1",260.33,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19977,"UA",5630,0.25,281.38,100,0.09,500,0.11,0.37,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","20141317033366719977UA",40.71278,-74.00597,36.85077,-76.28587,472.359635513571
"1329",2015,"2",304.52,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19790,"DL",4220,0.14,346.58,175,0.06,550,0.07,0.14,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","20152317033366719790DL",40.71278,-74.00597,36.85077,-76.28587,472.359635513571
"1330",2012,"2",261.7,30721,31066,"Boston, MA (Metropolitan Area)","Columbus, OH",19393,"WN",7830,0.25,237.61,200,0.23,350,0.1,0,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Columbus, OH
(39.962649, -82.996216)","20122307213106619393WN",42.36008,-71.05888,39.96118,-82.99879,1032.84283860022
